,speaker,twitter_handle,followers
1449,shirley turner,shirlsyourgirl,281
1450,bill posey,congbillposey,22874
1451,nik kovac,nikovac,535
1452,john boccieri,RepJohnBoccieri,865
1453,urban intellectuals,urbanintellects,3851
1454,anne hathaway,Hathaway_France,15464
1455,tom fanning,Tom_Fanning_Ag1,658
1456,bill montford,BillMontford,231
1457,mike rawlings,Mike_Rawlings,35350
1458,john bolton,AmbJohnBolton,628979
1459,dean cannon,DeanCannon,2978
1460,colleen conley,cconleyyyy,129
1461,jason riley,JasonRileyWDRB,11921
1462,valinda bolton,ValindaBolton47,526
1463,gabrielle giffords,GabbyGiffords,269213
1464,margaret gomez,MGomez714,45
1465,hugh hewitt,hughhewitt,179672
1466,dan branch,TexansForDan,13964
1467,matt rinker,Matt_Rinker_,90
1468,american life league,AmerLifeLeague,15641
1469,bob tiernan,bobtiernan,258
1470,charlie bethel,CharlieBethel,2153
1471,jeff weems,JeffWeems3,1847
1472,david silverman,MrAtheistPants,57582
1473,roxanne ross,RoxyRoss,524
1474,frank lasee,franklasee,80
1475,eugene sepulveda,EugeneAustin,3473
1476,public citizen,Public_Citizen,113899
1477,brett smiley,brettsmiley,8041
1478,rob moshein,AustinWineGuy,338
1479,cornel west,CornelWest,852857
1480,john mckeon,jtmckeon,517
1481,martin smith,MartinSmithTV,83515
1482,charles boustany,charlesboustanl,116
1483,doug miller,DougObserver,1478
1484,john fetterman,JohnFetterman,37773
1485,jack conners,srennoc,160
1486,leo berman,RepBerman,160
1487,allison tant,allisontant,3282
1488,ed whitacre,retiredceo,46
1489,jim bridenstine,JimBridenstine,52293
1490,john oxendine,Johnoxendine,94
1491,james parisi,JamesAParisi,582
1492,michael murphy,murphm95,49753
1493,jamie weinstein,Jamie_Weinstein,19809
1494,janet bewley,JanetBewley4WI,688
1495,tom delay,tomdelaybeats,960
1496,ovide lamontagne,ovidein2010,1379
1497,jeff judson,Jeffrey8912,56
1498,media matters,mmfa,392871
1499,shaun donovan,Shaun_Don66,463
1500,ian bremmer,ianbremmer,427667
1501,tom petri,tcpetri,112
1502,james crowley,TherealJCrowley,251
1503,kathie glass,KathieGlass4Tx,597
1504,marc lamont hill,marclamonthill,392884
1505,raw story,RawStory,197576
1506,lgbt progress,LGBTProgress,46482
1507,michael tyler,MichaelTyler93,5230
1508,wisconsin transportation builders association,WIRoadbuilders,35
1509,shirley anderson,shirlsy,894
1510,susan yoshihara,susan_yoshihara,72
1511,jason kander,JasonKander,326274
1512,tina rosenberg,tirosenberg,7851
1513,john albers,johnalbers,3388
1514,peter nehr,reppeternehr,258
1515,sara stevenson,ssteven2,631
1516,john axford,JohnAxford,78228
1517,pete sessions,PeteSessions,34289
1518,put alaska first pac,PutAlaskaFirst,180
1519,carl hosticka,chosticka,1
1520,tony perkins,TPerkShow,1732
1521,scot ross,rossacrosswi,5016
1522,ted ferrioli,tedferrioli,529
1523,daniel webster,RepWebster,25123
1524,zack space,ZackSpaceOhio,3489
1525,mika brzezinski,morningmika,888519
1526,john dennis,Johndliu,2286
1527,john matson,johnnymatson,923
1528,freedom partners,FreedomPartners,48200
1529,sloan roach,sdroach,3
1530,melanie crozier,melcrozier,140
1531,glee,GLEEonFOX,2479630
1532,joe zepecki,JoeZepecki,929
1533,joe theismann,Theismann7,153434
1534,jack murphy,JackMurphy219,2717
1535,kim thatcher,KimThatcherGOP,1140
1536,gerald mccormick,GeraldMcCormick,1241
1537,marshall faulk,marshallfaulk,162290
1538,ryan downton,Newfino,123
1539,steve santarsiero,SenSantarsiero,3070
1540,joe leibham,JoeLeibham,986
1541,jill vogel,JillHVogel,4032
1542,gerald daugherty,TeamDaugherty,430
1543,rob eissler,RobEissler,389
1544,jim greer,jwgreer3,1081
1545,steve kagen,stevekagen,77
1546,jonathan harris,J_Harris_29,2193
1547,calvine rollins,ladycefus,10
1548,tim mcginty,jprov716,42
1549,ameripac,AmeriPACorg,117
1550,bob seger,BobSeger,82501
1551,choose new jersey,ChooseNJ,3545
1552,cocks not glocks,CocksNotGlocks,2097
1553,genevieve wood,genevievewood,6102
1554,daily mail,MailOnline,2352319
1555,warren chisum,chisum_warren,0
1556,evan goyke,RepGoyke,683
1557,russ fulcher,RussFulcher,2066
1558,chris carpenter,ChrisCarp06,1080
1559,scott hochberg,scotthoch,8
1560,michael mule,MichaelMule,359
1561,yolanda adrean,yadrean,528
1562,yg action fund,YGActionFund,165
1563,bill bradbury,billbradbury,1006
1564,paul summers,summers400,520
1565,abel collins,be1Collins,692
1566,david boies,dajobo,14
1567,beatrice lanzi,Beatrice_Lanzi,11
1568,morgan griffith,RepMGriffith,28676
1569,jack ohman,JACKOHMAN,6887
1570,alexander snitker,AlexSnitker,1302
1571,joseph andriole,JoeBruins19,2
1572,rick mcallister,rickmcallister1,228
1573,mike plant,MPlantTDR,1225
1574,dan fanelli,ElectDan2010,99
1575,jason brodeur,jasonbrodeur,5408
1576,stephen king,StephenKing,5220310
1577,kathleen sullivan,kathleennewsie,1391
1578,phil kent,PhilKentAtl,2649
1579,republican state leadership committee,RSLC,13249
1580,mike huebsch,mdhws,8
1581,gonzalo barrientos,GonBarrientosA,839
1582,aziz ansari,azizansari,10861802
1583,graeme zielinski,gjzielinski,2878
1584,doug otto,otto_doug,93
1585,candy crowley,CandyCrowley,220130
1586,russ carnahan,russcarnahan,1740
1587,bryan fischer,BryanJFischer,12735
1588,now or never pac,NowOrNeverPAC,22
1589,tim finchem,Not_TimFinchem,55
1590,sharlene leurig,sleurig,725
1591,martina navratilova,Martina,275733
1592,leon young,99LeLee,326
1593,la raza,larazachicago,3865
1594,stu burguiere,WorldOfStu,85159
1595,joy reid,JoyAnnReid,1394019
1596,eugene robinson,Eugene_Robinson,374978
1597,curtis foltz,homegrown_foltz,46
1598,john g edwards,oneat1,1516
1599,jimmy massie,countryboy75,2
1600,charles perry,TheCharlesPerry,20504
1601,jim patterson,JimPatterson559,5053
1602,richard swett,rnswett,299
1603,rashad taylor,rashadjtaylor,1548
1604,common cause,CommonCause,57039
1605,robert kando,robertkando,0
1606,denise grimsley,denisegrimsley,5635
1607,sal albanese,SalAlbaneseNYC,4592
1608,raymond gallison,aepasstdirector,9
1609,kendall jones,beerblog,10688
1610,mark critz,realMarkCritz,1491
1611,thurbert baker,ThurbertBaker,323
1612,tim echols,timechols,10364
1613,jonathan karl,jonkarl,211812
1614,peter nightingale,Peter_Night,382
1615,george nee,george_nee,4
1616,ken tanner,KenWestHam,111
1617,roberto alonzo,cfa10roberto,202
1618,mahlon mitchell,MahlonMitchell,11671
1619,david madland,DavidMadland,605
1620,liz carter,withoutdoing,13883
1621,judson phillips,judsonphillips,8933
1622,courtney combs,cococombs11,75
1623,debbie riddle,DeeVfl,388
1624,anthony rendon,Rendon63rd,17664
1625,tax foundation,taxfoundation,32733
1626,gordon robertson,CBNGordon,14252
1627,rick green,VTConfidential,7414
1628,zephyr teachout,ZephyrTeachout,109094
1629,bill zedler,Bill_Zedler,4845
1630,ron hayduk,RonHayduk,145
1631,arizona house democrats,AZHouseDems,13614
1632,american unity pac,AmerUnityPAC,422
1633,dave hansen,DigLibCopyright,647
1634,ben rhodes,brhodes,301586
1635,eric turner,EricTurner,9260
1636,peter orszag,porszag,15607
1637,maxey scherr,MaxeyforTexas,1614
1638,lynn derbyshire,LynnDerbyshire,0
1639,regina benjamin,reginabenjamin,1894
1640,david plouffe,davidplouffe,192436
1641,katty kay,KattyKay_,117412
1642,thomas ratliff,RatliffT,1809
1643,mother jones,MotherJones,776927
1644,al cardenas,AlCardenasFL_DC,8052
1645,warren buffett,WarrenBuffett,1516289
1646,ken hodges,Ken_Hodges15,236
1647,morgan carroll,MorganLCarroll,4996
1648,heineken,Heineken,153854
1649,jeff clemens,jclemy,1373
1650,scott lingamfelter,ScottForVA,15
1651,clay dafoe,claydafoeaustin,2
1652,kevin rader,KevinWTHR,6560
1653,ernest moniz,ErnestMoniz,11740
1654,judith zaffirini,JudithZaffirini,4029
1655,dominic chavez,dchavezzz_,333
1656,evan longoria,Evan3Longoria,375284
1657,dino baccari,BaccariDino,1
1658,bill janis,BillJanis,369
1659,drew brees,drewbrees,3154587
1660,thad altman,RepThadAltman,3290
1661,kip kendrick,Kip_Kendrick,2786
1662,jennie lou leeder,JennieLouLeeder,2244
1663,jalen ross,Jrooo11,585
1664,jim marston,JimMarston,2035
1665,cato institute,CatoInstitute,357170
1666,debra lehrmann,JusticeLehrmann,2379
1667,pam davidson,PamDavEd,1094
1668,christine whitman,Christiinneeyy,469
1669,john rafferty,jrafferty,543
1670,richard tomlins,RichTomlins,721
1671,alan powell,alanpowell10,34679
1672,sean patrick maloney,RepSeanMaloney,29396
1673,mike berlon,mikeberlon,698
1674,chris sgro,cristoferosgro,3334
1675,marijuana policy project,MarijuanaPolicy,191842
1676,mamie locke,SenatorLocke,2189
1677,drew springer,DrewSpringer,6811
1678,steven costantino,Steve_cost32,63
1679,russell pearce,RussellPearceAZ,274
1680,ian prior,ianprior90,2146
1681,carole smith,SynNeoMarketing,1448
1682,brett bittner,brettbittner,1361
1683,wolf blitzer,wolfblitzer,1427789
1684,cenk uygur,cenkuygur,375781
1685,mike wise,MikeWiseguy,31597
1686,todd wilcox,toddwilcox24,204
1687,dan forest,DanForestNC,10339
1688,george lavender,GeorgeLavender,1190
1689,david hallock,dhhallock,326
1690,scott suder,suder13,196
1691,enterprise florida,EnterpriseFL,33144
1692,milly silva,MillySilva,2197
1693,jeff scrima,jscrima,27
1694,john birch society,The_JBS,9670
1695,jon bramnick,JonBramnick,4882
1696,anna kooiman,annakooiman,155931
1697,clean water portland,OCSDW,165
1698,jeff mullis,1_v_1ME,5
1699,dave claunch,DaveClaunch,11
1700,mike cernovich,Cernovich,464684
1701,lisa tomasso,Lisa_Tomasso,561
1702,stephen laffey,stephenlaffey,9
1703,sid covington,SidCovington,141
1704,edd houck,eddhouck,69
1705,anastasia williams,ARoyalOne,732
1706,thomas melsheimer,TomMelsheimer,625
1707,charles krauthammer,krauthammer,829812
1708,james oneil,JamesEONeil2,223
1709,adrian garcia,AdrianGarciaHTX,17655
1710,tyrone brooks,tbrooksBIN,3264
1711,gwyneth paltrow,GwynethPaltrow,2902487
1712,stephen ucci,stephen_ucci,405
1713,peter lavelle,PLCROSSTALK,8497
1714,dan sebring,SebringDan,223
1715,unicef,UNICEF,7532973
1716,erin lynch,ErinALynch,969
1717,deborah gist,deborahgist,17206
1718,kathleen angelucci,Cobbedutweet,21
1719,juda engelmayer,judae,351
1720,mario gallegos,MarioGallegosHF,124
1721,bob,bobsaget,2382581
1722,dan pfeiffer,danpfeiffer,558396
1723,kurt schuller,schuller53rd,1369
1724,brian wilson,BrianWilsonLive,74232
1725,doug ainge,dougainge,7
1726,warren kampf,KampfWarren,4
1727,thaddeus mccotter,ThadMcCotter,31880
1728,mike ford,Mike7Ford,6615
1729,ron meyer,Ron4VA,4010
1730,rebecca quigley,RQuig3605,74
1731,ann marie buerkle,AMBCPSC,425
1732,piers morgan,piersmorgan,6640959
1733,keisha lance bottoms,KeishaBottoms,59206
1734,dennis hastert,SpeakerHastert,95
1735,michael adams,MickeyAdamsGM,14506
1736,espn,espn,33922206
1737,metro,MetroUK,297192
1738,oregon catalyst,oregoncatalyst,3759
1739,colorado health institute,COHealthInst,5420
1740,brian deese,DeeseOMB,2430
1741,spencer bachus,BachusAL06,8359
1742,representus,representus,31440
1743,barney bishop,Barney_Bishop,1127
1744,greg morris,juicedageneral,1077
1745,teresa fedor,teresa_fedor,3926
1746,eric fehrnstrom,EricFehrn,22760
1747,michael needham,MikeNeedham,7599
1748,lisa hamler fugitt,LisaHF1,13
1749,karen huber,karenohuber,569
1750,john nygren,rep89,3570
1751,voters first ohio,votersfirstohio,444
1752,alicia menendez,AliciaMenendez,28694
1753,paul saldana,psaldana52,131
1754,russ girling,breeanabessi,5
1755,oxfam america,OxfamAmerica,343121
1756,joee lindbeck,lindbeck24,82
1757,john faulk,john__faulk,771
1758,david prosser,David_Prosser,395
1759,jonathan turley,JonathanTurley,45564
1760,jason haas,jhaas,1709
1761,mark belling,MarkBellingShow,9172
1762,campaign money watch,cmoneywatch,2
1763,mark harris,MarkHarrisNC9,6580
1764,your choice colorado,YourChoiceCO,3965
1765,matt wuerker,wuerker,22928
1766,james quintero,JamesQuinteroTX,1483
1767,paul hipp,paulhipp,2327
1768,todd young,ToddYoungIN,8548
1769,suzanne somers,SuzanneSomers,56756
1770,ann lininger,annlininger,1395
1771,ellen qualls,QuallsComm,772
1772,tom wolf,TomWolfPA,29033
1773,stephen simpson,Stevoo7,706
1774,phyllis schlafly,PhyllisSchlafly,7493
1775,john mccallum,HonJohnMcCallum,26089
1776,hugh fitzsimons,HughAFitzsimons,182
1777,menendez facts,MenendezFacts,741
1778,andy berke,AndyBerke,22643
1779,steve henson,SteveHenson,3115
1780,margaret carlson,carlsonmargaret,4810
1781,mark sharpe,MarkSharpe39kFT,7401
1782,peter roskam,PeterRoskam,29587
1783,joseph chiusolo,josephchiusolo,18
1784,ken lanci,KenALanci,442
1785,james durkan,jdurkan91,172
1786,occupy wall street,OccupyWallStNYC,194412
1787,jonathan boucher,jonbouch,2028
1788,bill burton,billburton,39424
1789,edward snowden,Snowden,4009114
1790,rick allen,rickallenlive,68569
1791,jane norton,JaneKitbag,227
1792,mark assini,markassini,2132
1793,keith ellison,keithellison,369012
1794,michael solomon,Mister_Solomon,1779
1795,ted yoho,RepTedYoho,31846
1796,james jolly,jamesjolly,582
1797,nancy gordeuk,principalracist,2
1798,jeff amason,AmasonJeff,0
1799,mason tvert,MasonTvert,1859
1800,jessica ehrlich,JessEhrlich,1400
1801,joseph fernandez,JoeFernz,82
1802,matt patten,IowaMatt72,134
1803,tom mccarey,tommccarey,46
1804,jason villalba,JasonVillalba,10459
1805,chris cummiskey,chrispatc,14
1806,jennifer williamson,Jennifer_for_OR,3594
1807,diane ravitch,DianeRavitch,152407
1808,jean casarez,JeanCasarezCNN,10698
1809,patty judge,pattyforiowa,1955
1810,new boston republican committee,NBRCORG,1
1811,jackie dingfelder,jdpdx1,104
1812,kirsten powers,KirstenPowers,306576
1813,mike hashimoto,MikeHashimoto,6945
1814,john kennedy,SenJohnKennedy,56783
1815,cynthia meyer,cynthiameyer_FF,431
1816,kyle williams,KyleWilliams_10,67035
1817,ron christie,Ron_Christie,11733
1818,marie ghazal,marielghazal,82
1819,jeff bridges,TheJeffBridges,261637
1820,charles kuck,ckuck,3853
1821,john hutson,johnhutson,950
1822,clayton county schools,CCPSArtsLife,146
1823,brian stelter,brianstelter,647826
1824,bob king,BKingDC,5173
1825,michael skolnik,MichaelSkolnik,293733
1826,florida news flash,FLNewsFlash,206
1827,jeremy kapstein,JeremyKapstein,76
1828,peggy lehner,peggylehner,2511
1829,michael rosen,MichaelRosenYes,134963
1830,wayne smith,VaultWayne,228
1831,robert uithoven,ruithoven,1939
1832,tere mccann,teremccann,70
1833,bryan kennedy,xbryanx,994
1834,samuel demaio,AccuproRoofing,1
1835,limberbutt mccubbins,Limberbutt2016,1520
1836,deirdre imus,TheGreenDirt,5077
1837,oregon pta,oregonpta,2111
1838,allie mccullen,alliemccullen,464
1839,talmadge heflin,TalmadgeHeflin,9
1840,ben ferguson,benfergusonshow,141716
1841,stephen carter,carter_AB,11102
1842,matt mcgrath,MattMcGrathBBC,24599
1843,russell brand,rustyrockets,11676717
1844,martha robertson,MarthaRDryden,287
1845,ash williams,ashwilliams1,16390
1846,shaun ireland,Ireland1836,182
1847,jack keane,gen_jackkeane,15523
1848,scott mccown,CScottMcCown,48
1849,diane mckeel,dianemckeel,814
1850,bill ratliff,billrat365,236
1851,steve cannon,SteveCannonCEO,7873
1852,steve phelps,stevephelps,8936
1853,katie pavlich,KatiePavlich,631123
1854,tom pauken,TomPauken,1170
1855,pari sabety,PSabety,372
1856,baby got pac,BabyGotPac,2
1857,liberty counsel,libertycounsel,7660
1858,matt mccall,CoachMattMcCall,7964
1859,patrick wales,pjwd_,593
1860,allan ritter,RepAllanRitter,475
1861,senate democrats,SenateDems,898509
1862,christine radogno,Christineradog1,30
1863,rick hardcastle,SteelString,213
1864,alan essig,AlanEssig,244
1865,gary kelly,gary_kelly,7398
1866,bill mcraven,billmcraven,17889
1867,john whitmire,whitmire_john,5017
1868,steve deace,SteveDeaceShow,55166
1869,john stossel,JohnStossel,1014497
1870,maureen dowd,maureendowd,679883
1871,chris chocola,ChrisChocola,681
1872,joel kleefisch,KleefischJoel,776
1873,valarie wilson,ValForEducation,528
1874,vicki mckenna,VickiMcKenna,15147
1875,francis kungu,franciskungu73,0
1876,nancy nusbaum,go4justice,43
1877,julie parrish,hotcouponmama,3260
1878,mike mcfadden,MUTGuru,73458
1879,brad rockwell,BradRockwell808,11
