,speaker,twitter_handle,followers
282,chuck todd,chucktodd,2050873
283,betty sutton,BettySutton,7571
284,keith olbermann,KeithOlbermann,1047074
285,jennette gayer,JennetteGayer,340
286,bill hammond,NYHammond,10081
287,jim renacci,JimRenacci,10485
288,tobias read,TobiasRead,693
289,rob turner,ReynardCity,6024
290,christina romer,ChrisRomer91,184
291,mike dewine,MikeDeWine,17447
292,roy cooper,RoyCooperNC,42468
293,rod monroe,SenatorMonroe,232
294,joel keehn,jkeehn,303
295,jack kingston,JackKingston,18595
296,miriam martinez,miriam__lisset,1035
297,dan micciche,DanforDISD,639
298,wayne thorburn,waynethorburn,5
299,rich zipperer,zipperer_rich,2
300,mark miller,RetireRevised,8286
301,george lemieux,George_LeMieux,9809
302,social media,socialmediaweek,133159
303,susana martinez,Gov_Martinez,18061
304,deborah ross,DeborahRossNC,6406
305,joseph kyrillos,Jmansourk,1
306,barry hinckley,BarryHinckley,2177
307,joe barton,RepJoeBarton,27444
308,peter palumbo,PetiePal,207
309,bettylou decroce,BLDeCroce4NJ,1520
310,carla smith,JLA_President,2644
311,winning our future,WinOurFuture,1900
312,pat mccrory,PatMcCroryNC,45567
313,michael savage,ASavageNation,192246
314,marvin pratt,MarvinPratt22,22
315,sharron angle,SharronAngle,8198
316,david simas,d_simas,13819
317,patrick murphy,PatrickMurphyFL,13040
318,sean spicer,seanspicer,407701
319,helen glover,Helenglovergb,55354
320,lee camp,LeeCamp,103222
321,citizens united political victory fund,cupvf,21
322,fred thompson,fredthompson,144842
323,lainey melnick,lmelnick,1245
324,caleb rowden,calebrowden,6683
325,brian kemp,BrianKempGA,47467
326,leonidas raptakis,senraptakis,66
327,howard dean,GovHowardDean,140376
328,lou ann zelenik,louannzelenik,1215
329,marty beil,johnnystubble,658
330,joe sestak,JoeSestak,9985
331,funny or die,funnyordie,13830227
332,susan stimpson,SusanBStimpson,1171
333,desmond meade,desmondmeade,6205
334,terri lynn land,LandforGovernor,19
335,blake rocap,BlakeRocap,2002
336,tim canova,Tim_Canova,44536
337,kamala harris,KamalaHarris,2647181
338,david shuster,DavidShuster,73627
339,john oliver,iamjohnoliver,5191413
340,ellyn bogdanoff,ellynbogdanoff,2010
341,earl blumenauer,repblumenauer,62503
342,ted poe,JudgeTedPoe,34707
343,bill maher,billmaher,11022735
344,laurence ehrhardt,Lauehr,5
345,dana rohrabacher,DanaRohrabacher,39359
346,jim demint,JimDeMint,217566
347,john lewis,repjohnlewis,1059567
348,gina raimondo,GovRaimondo,68197
349,kitty boitnott,kittyboitnott,875
350,deadspin,Deadspin,1059200
351,nancy devaney,Dev04,252
352,herman cain,THEHermanCain,520491
353,chet edwards,ChetEdwards,436
354,glenn beck,glennbeck,1214283
355,glenn hegar,Glenn_Hegar,6804
356,jon runyan,RepJonRunyan,5895
357,david perdue,sendavidperdue,64315
358,ted gatsas,Gatsas4Mayor,1379
359,charlotte nash,charlotte_nash8,1176
360,ron wyden,RonWyden,443826
361,steve archambault,Arch_Steve,34081
362,tom scott,tomscott,96642
363,tim pawlenty,TimPawlenty,66098
364,rachel oconnor,Rachinthetron,376
365,steve cohen,RepCohen,63490
366,lon burnam,LonBurnam,2124
