,speaker,twitter_handle,followers,tweets,verified
377,ann mclane kuster,RepAnnieKuster,20668,4568,1
378,mark hass,MarkHassOregon,2932,1371,0
379,robin wright,RealRobinWright,150177,237,1
380,david ignatius,IgnatiusPost,97576,1828,0
381,andrea tantaros,AndreaTantaros,477012,7354,1
382,randi shade,randi61604000,14,7,0
383,juan williams,TheJuanWilliams,159499,4634,1
384,jim webb,JimWebbUSA,26272,1916,1
385,tom graves,RepTomGraves,20847,4171,1
386,russ feingold,russfeingold,48262,2919,1
387,joe garcia,JoeGarcia,3524,4187,0
388,john obannon,CaptainObywan,44,302,0
389,ann coulter,AnnCoulter,2139088,42373,1
390,jason stanford,jstannymlber61,3694,7389,1
391,mark schlereth,markschlereth,592199,64506,1
392,ann kirkpatrick,Ann_Kirkpatrick,10077,989,1
393,dana loesch,DLoesch,1078776,125009,1
394,john king,JohnKingCNN,312149,6978,1
395,carlos beruff,carlosberuff,2938,317,0
396,tom letson,Tom_Letson_LPC,690,1393,0
397,keith faber,KeithFaber,5155,1133,1
398,johnny isakson,SenatorIsakson,64784,6035,1
399,steve poizner,StevePoizner,145182,1042,0
400,joe defelice,JoeDeFeliceHUD,729,1713,0
401,ed fallone,EdFallone,245,1484,0
402,afscme,AFSCME,53443,58318,0
403,harry alford,HarryAlford3,2412,7208,0
404,progressohio,ProgressOhio,10706,36357,1
405,rich golick,SpaceLogger,8,0,0
406,kathleen peters,KathleenMPeters,4143,815,0
407,kirk cox,SpeakerCox,4125,1760,0
408,ultraviolet,UltraViolet,32789,18822,1
409,drug policy alliance,DrugPolicyOrg,88079,13819,1
410,brian sims,BrianSimsPA,57080,6705,1
411,jim whelan,BoardwalkHall,7775,3363,1
412,michael eric dyson,MichaelEDyson,389582,22449,1
413,charles rangel,cbrangel,28275,7084,1
414,chris matthews,HardballChris,908082,1827,1
415,linda koop,LindaKoopTX,3191,986,0
416,terry moulton,terrymoulton,571,143,0
417,john loud,loud_john,630,2707,0
418,john edwards,JEdwardsRacing,4624,5691,1
419,one wisconsin now,onewisconsinnow,14443,25831,1
420,turning point usa,TPUSA,256932,20580,1
421,marion hammer,MarionHammer1,133,0,0
422,brianna keilar,brikeilarcnn,135328,5602,1
423,shelley adler,Shelley_Adler,296,262,0
424,stephen colbert,StephenAtHome,18469615,6122,1
425,louise slaughter,louiseslaughter,24311,3414,1
426,wayne powell,Powellsenateva,2292,2016,0
427,howard fineman,howardfineman,234526,11607,1
428,alan simpson,AlanSimpsonNI,16719,19426,0
429,senate majority pac,MajorityPAC,6105,1178,1
430,laura ingraham,IngrahamAngle,2721881,38487,1
431,tim ryan,TimRyan,20126,3800,1
432,glen sturtevant,GlenSturtevant,2854,2386,0
433,john lombardi,John3lombardi,330,2307,0
434,chris murphy,ChrisMurphyCT,767715,18768,1
435,bruce braley,BruceBraley,13602,6246,1
436,curtis martin,curtismartin,26089,487,1
437,gus bilirakis,RepGusBilirakis,30072,5585,1
438,nita lowey,NitaLowey,31819,4021,1
439,catherine hanaway,639802,125,1,0
440,joellen smith,MsJoEllenSmith,61,42,0
441,elizabeth warren,SenWarren,4998745,4204,1
442,ben cardin,BenCardinforMD,6046,1756,1
443,vicki martin,MarineSciComm,798,1943,0
444,evan bayh,SenEvanBayh,4632,295,0
445,jim moran,Jim_Moran,11038,1744,1
446,bill weimer,Bill_Ymr,0,3,0
