,speaker,twitter_handle,followers,tweets,verified
1170,peter schweizer,peterschweizer,40070,1214,0
1171,john shimkus,RepShimkus,29847,10429,1
1172,stephanie desilva,StephanieDesi10,1,0,0
1173,daniel rodriguez,sethillgard,876,6427,0
1174,gina hinojosa,GinaForAustin,6204,5412,0
1175,mahmoud ahmadinejad,Ahmadinejad1956,99977,228,1
1176,matt gaetz,mattgaetz,118687,9819,1
1177,jan schakowsky,janschakowsky,41094,7469,1
1178,chris van hollen,ChrisVanHollen,149957,4465,1
1179,james skeffington,jamesskeff2013,1,15,0
1180,one nation pac,OneNationPAC,389,1164,0
1181,kenneth mckay,McKayKH_95,142,7915,0
1182,jamie oliver,jamieoliver,6753729,35019,1
1183,steve doocy,SteveDoocy,251765,6288,1
1184,yvette mcgee brown,YvetteMB1,2776,1242,0
1185,al roker,alroker,2521563,21616,1
1186,jim taricani,jim_taricani,753,1915,0
1187,bing west,BingWest,1771,259,0
1188,ron shipman,RonShipman2,1,1,0
1189,lori haas,LoriHaasVA,2023,648,0
1190,john morgan,JohnMorganESQ,64081,9887,1
1191,jb powell,JBPowell11,293,347,0
1192,doug ducey,dougducey,54077,14060,1
1193,stephanie schriock,Schriock1,22321,6381,1
1194,ken hagan,hagan2010,100,16,0
1195,katrina shankland,RepShankland,2652,2010,1
1196,elizabeth dennigan,xoladiegaga,4,7,0
1197,steve doell,DeadlyDoellies,22,6,0
1198,jerome buting,JButing,102396,2890,0
1199,mallard fillmore,fillinator,6,2,0
1200,dale earnhardt jr,DaleJr,2475991,18793,1
1201,joe sanfelippo,Joe_Sanfelippo,40385,41485,0
1202,craig miller,junior_miller,176405,6862,1
1203,michelle mosby,MsHelpMeHelpYou,845,3494,0
1204,mick mulvaney,MickMulvaneyOMB,36361,64,1
1205,ted piccolo,tedpiccolo,16,6,0
1206,barbara lee,BarbaraLeeSays,5659,7766,1
1207,jennifer carroll,ChefJenCarroll,38390,6054,0
1208,pam stewart,pstewart78,283,1060,0
1209,david pennington,pennington03,2651,4360,0
1210,chris latvala,ChrisLatvala,4887,17095,0
1211,stop gillnetting now,StopGillnetting,28,36,0
1212,larry pressler,larrypressler,580,299,0
1213,national review,NRO,323701,93052,1
1214,liz cheney,Liz_Cheney,92821,1855,1
1215,beth harwell,BethHarwellTN,15105,2517,1
1216,joni ernst,joniernst,37497,1701,1
1217,myra signer,MyraSigner,0,0,0
1218,mary jordan,marycjordan,6909,5183,1
1219,bill de blasio,BilldeBlasio,149966,1238,1
1220,richard shelby,SenShelby,80125,2180,1
1221,james carville,JamesCarville,48522,250,1
1222,tom perriello,tomperriello,102721,9572,1
1223,nia gill,gill_nia,348,1168,0
1224,weston wamp,westonwamp,3033,4493,0
1225,lauren kane,lelizabethkane,426,436,0
1226,ian lang,IanLangITVWales,1527,3052,0
1227,michael cohen,MichaelCohen212,442186,9226,1
1228,stephen fincher,RepFincherTN08,9485,2961,1
1229,eugene mckenna,euggmac,16,10,0
1230,reza aslan,rezaaslan,288532,55777,1
1231,chris widener,ChrisWidener,123065,18471,0
1232,nationwide,Nationwide,62789,15539,1
1233,empowered georgia,empoweredga,1226,484,0
1234,michael cutler,cutlermj,651,1584,0
1235,gavin mcinnes,DefendGavin,7779,144,0
1236,ken paxton,KenPaxtonTX,39927,6511,1
1237,glenn nye,GlennNye,3456,634,1
1238,shawn oconnor,ShawnsWineLife,124,1482,0
1239,tom ganley,tomganley,675,227,0
1240,emil runge,RungeEmil,39,52,0
1241,victoria jackson,VictoriaJackson,15272,1231,0
1242,bob bennett,BobBennett_b2,2100,1213,0
1243,chris koster,Koster4Missouri,18057,1695,1
1244,dan moore,DANandMOORE,16015,14093,1
1245,brad woodhouse,woodhouseb,27437,45043,1
1246,charles cooper,coopeydoop,6142,11939,1
1247,oxfam ireland,OxfamIreland,11245,15221,1
1248,jason rae,JasonRRae,4096,9995,1
1249,jennifer horn,NHJennifer,3988,6665,0
1250,brad blakeman,BradBlakeman,124,2564,0
1251,efrain de la fuente,VoteDeLaFuente,7,154,0
1252,nancy jester,nancy_jester,2116,10638,0
1253,rebecca kleefisch,RebeccaforReal,12868,4212,1
1254,nadine smith,NadineMCSmith,1536,4139,0
1255,eric johnson,EricJJohnson79,49959,30948,1
1256,brian schatz,brianschatz,211024,11272,1
1257,bumper sticker,bumpstickideas,459,995,0
1258,occupy providence,OccupyProv,5626,1040,0
1259,mark tapscott,MarkTapscott,25,1626,0
1260,elton john,eltonofficial,745157,5141,1
1261,bob schieffer,bobschieffer,111369,1343,1
1262,judy manning,jboppwrites,496,8222,0
1263,tony evers,Tony4WI,29201,1820,1
1264,naacp,NAACP,397269,28349,1
1265,robert malin,So1idarityMedia,529,16215,0
1266,john roberts,JohnRobertsFun,34900,1395,1
1267,rick boucher,rickboucherdc,64,25,0
1268,elaine phillips,ElainePhillips1,156,451,0
1269,patrick mchenry,PatrickMcHenry,24829,4821,1
1270,jack trammell,jacktrammell,1041,1963,0
1271,dave schwartz,Dave_Schwartz,20291,62494,1
1272,barbara comstock,BarbaraComstock,11578,8910,1
1273,scott fitzgerald,SenFitzgerald,4945,1939,1
1274,brook hines,nashville_brook,2286,16964,0
1275,al jazeera america,ajam,317945,36346,1
1276,susan pitman,kitykity,899,4939,0
1277,babur lateef,lateef4chair,335,216,0
1278,jonathan steitz,JonathanSteitz,5605,262,0
1279,jack bogdanski,bojack54,1381,33640,0
1280,derek ryan,DerekAllenRyan,4639,573,1
1281,brent larkin,brentlarkin,133,318,0
1282,mary matalin,MaryMatalin,59,18,0
1283,sheila harsdorf,senharsdorf,54,0,0
1284,ron amstutz,rkagolf,35,84,0
1285,fran lebowitz,franlebowitz,6622,1,0
1286,firearms policy coalition,gunpolicy,27115,11513,0
1287,ben shapiro,benshapiro,2136694,139656,1
1288,kellyanne conway,KellyannePolls,2721423,7934,1
1289,major garrett,MajorCBS,189876,27817,1
1290,tom rooney,TomRooney,23679,3026,1
1291,ross douthat,DouthatNYT,154802,29461,1
1292,mike gallagher,radiotalkermike,78364,8873,1
1293,cecile richards,CecileRichards,189666,11658,1
1294,georgia gun owners,GaGunOwners,1654,2364,0
1295,phil ruffin,PhilRuf,53,1070,0
1296,jeff flake,JeffFlake,663087,2768,1
1297,rula jebreal,rulajebreal,120867,22849,1
1298,dino rossi,DinoRossiWA,3728,161,1
1299,senfronia thompson,Senfronia4Texas,1640,150,0
1300,steve oroho,SteveOroho,59,0,0
1301,end citizens united,StopBigMoney,54304,10063,1
1302,brian newberry,_CoachNew,10129,648,0
1303,colin van ostern,ColinVanOstern,5288,4573,0
1304,lars larson,LarsLarsonShow,23100,15181,0
1305,rob woodall,RepRobWoodall,13191,984,1
1306,chris bollwage,MayorBollwage,3458,9045,0
1307,john whitbeck,JohnWhitbeck,5516,8180,1
1308,jackie speier,RepSpeier,134870,5449,1
1309,kai ryssdal,kairyssdal,166386,46634,1
1310,mike stenhouse,mikesten,1613,10224,0
1311,david englin,david_englin,67,101,0
1312,veronica escobar,vgescobar,24728,9031,1
1313,chris telfer,SenChrisTelfer,228,104,0
1314,jimmie don aycock,Aycockjda,3679,133,0
1315,john driscoll,OPDPresources,439,3249,0
1316,ruth marcus,RuthMarcus,41250,3936,1
1317,duf sundheim,DufSundheim,6,0,0
1318,oregon food bank,oregonfoodbank,5338,7504,0
1319,cormick lynch,CormickLynch,263,239,0
1320,david sutton,davidball1978,2218,17305,0
1321,alisha thomas morgan,AlishaMorgan,2914,1496,0
1322,matt lundy,mattlundy33,964,6222,0
1323,arne duncan,arneduncan,23827,7675,1
1324,ken detzner,KenDetzner,1217,680,1
1325,heather moore,HMooreTV,4032,2023,1
1326,lauren benedict,laurenbeeswax,111,494,0
1327,rob gleason,glebo15,32,32,0
1328,richard august,RichAugust1,378,3269,0
1329,jess mcintosh,jess_mc,46759,29537,1
1330,seth magaziner,SethMagaziner,4895,3734,0
1331,jeffrey toobin,JeffreyToobin,228774,4596,1
1332,david pepper,DavidPepper,19576,90299,1
1333,paul doughty,PaulDoughty1,2093,8503,0
1334,scott turner,ScottyT6,2258,1102,0
1335,mike ryan,mikeryan,25532,26109,1
1336,john podesta,johnpodesta,206289,1908,1
1337,trebor banstetter,Banstetter,360,757,0
1338,eva longoria,EvaLongoria,7259347,15981,1
1339,charles koch,CKinstitute,17086,11071,1
1340,american bird conservancy,ABCbirds,23868,12960,0
1341,joe wilson,RepJoeWilson,13332,2626,1
1342,callista gingrich,CallyGingrich,19201,3864,1
1343,thom hartmann,Thom_Hartmann,109183,28497,1
1344,common sense kids action,CSKidsAction,3980,4765,1
1345,chuck fleischmann,RepChuck,15617,2521,1
1346,chris dorworth,ChrisDorworth,2447,7064,0
1347,dana bash,DanaBashCNN,383764,10732,1
1348,heritage foundation,Heritage,645557,84194,1
1349,jim cooper,repjimcooper,24772,2960,1
1350,victoria cobb,toricobb3,437,14875,0
1351,barbara cargill,barbaracargill,11,1,0
1352,rob astorino,RobAstorino,17307,6533,1
1353,jonathan stickland,RepStickland,10563,2101,0
1354,jimmy flannigan,JimmyFlannigan,3317,6287,0
1355,janet freedman,jrfreedman1,10,1,0
1356,elisabeth hasselbeck,ehasselbeck,370929,3939,1
1357,susan shapiro,Susanshapironet,40227,4340,0
1358,stephen kretzmann,Kretzmann,3097,5317,0
1359,anita perry,AnitaPerryTX,3884,25,1
1360,mike enzi,SenatorEnzi,89966,4293,1
1361,rick saccone,RickSaccone4PA,13013,1301,1
1362,chuck norris,chucknorris,127655,960,0
1363,nicholas gorham,NicholasGorham,411,386,0
1364,pete koekstra,petekoekstra,0,1,0
1365,ed turanchik,ETuranchik,280,281,0
1366,martha raddatz,MarthaRaddatz,103076,2218,1
1367,ted olson,teotwits,78,772,0
1368,janet howell,JanetHowellPye,225,488,0
1369,kathy miller,SupeKathyMiller,575,393,0
1370,jesse ventura,GovJVentura,106208,8906,1
1371,preston smith,PrestonSmith94,31678,7667,1
1372,michael julian bond,Michael_J_Bond,1252,2534,0
1373,larry pratt,larrypratt,6986,3341,0
1374,dawson hodgson,DawsonHodgson,1606,3678,0
1375,presente,PresenteOrg,17897,16869,0
1376,nick gillespie,nickgillespie,85566,61106,1
1377,barney frank,BarneyFrank,22376,227,1
1378,john bel edwards,JohnBelforLA,17313,4317,1
1379,dan lucas,WFLADan,2332,15050,1
1380,david stockman,davidstockman,508,4106,0
1381,andy puzder,AndyPuzder,9727,2856,1
1382,joshua miller,jm_bos,7111,11031,1
1383,henry cisneros,henrygcisneros,1948,305,0
1384,dennis linthicum,DennisLinthicum,819,1196,0
1385,doug stoner,doug_stoner,264,57,0
1386,multnomah county,MultCoLib,12238,18250,1
1387,mike thompson,RepThompson,27550,8009,1
1388,wayne deangelo,DeAngeloLD14,696,339,0
1389,peter feigin,pfeigin,3266,469,0
1390,jay webber,JayWebberNJ,3446,1221,1
1391,justin hewlett,justin_hewlett,150,651,0
1392,kevin coughlin,kcough,922,3925,0
1393,steven goldstein,sjgoldstein,2491,3480,0
1394,james florio,jamesflorio,38,17,0
1395,oregon senate republicans,ORSenateRs,3790,2783,0
1396,timothy geithner,TimGeithnerRX,234,206,0
1397,sam rashid,SamSRashid,145,858,0
1398,david beckham,DaviBeckham24x7,17489,19420,0
1399,bryan underwood,bwood,298,2358,0
1400,jeff cogen,JeffCogen,4121,1825,0
1401,john legend,johnlegend,12680070,13179,1
1402,kofi annan,KofiAnnan,269059,4819,1
1403,john kirby,johnfkirby63,20348,1366,1
1404,maria cardona,MariaTCardona,50398,34474,1
1405,brian fallon,brianefallon,165343,11689,1
1406,artur davis,ArturDavis,8709,6,1
1407,gary peters,GaryPeters,10751,1883,1
1408,stephen lisauskas,stephnlisauskas,3,23,0
1409,dave joyce,RepDaveJoyce,20609,4230,1
1410,carol alvarado,CarolforTexas,12579,8370,0
1411,annise parker,AnniseParker,77803,10537,1
1412,minka kelly,minkakelly,303709,3082,1
1413,justin barasky,JustinBarasky,7356,44381,0
1414,trey gowdy,TGowdySC,1017210,1918,1
1415,neil cavuto,TeamCavuto,624386,10673,1
1416,andy gardiner,AndyGardiner,543,9366,0
1417,colin powell,cpowellschool,5493,2535,0
1418,elizabeth ames jones,ElizAmesJones,51,0,0
1419,joe miller,Joe_Miller,126318,19219,1
1420,john cortes,cortes_john,3164,12236,0
1421,sheryl cole,SherylCole1,2734,1986,0
1422,jim lampley,exfire21,334,6390,0
1423,carolyn medeiros,Carolynwnhq,16,0,0
1424,mark herring,MarkHerringVA,35493,5995,1
1425,julia sass rubin,JuliaSassRubin,577,2960,0
1426,tavis smiley,tavissmiley,334207,13598,1
1427,renewable fuels association,EthanolRFA,11504,13874,1
1428,jill chambers,jillchamberss,509,8198,0
1429,thomas sowell,SowellColumn,17029,16128,0
1430,matt damon,MattDamonOnline,6550,201,0
1431,marie corfield,mariecorfield,2964,27359,0
1432,patrick johnston,risingaction,5834,87266,1
1433,steve leslie,sjlcards,279,784,0
1434,alex castellanos,alexcast,19644,5377,1
1435,eric eisnaugle,ElectEric,3,0,0
1436,rick lazio,RickLazio,3376,1837,0
1437,susan latvala,SLatvala,296,80,0
1438,hillary davis,MarcheDimanche,8682,8665,0
1439,jeff graham,JeffGrahamAtl,1217,4951,0
1440,wisconsin humane society,WiscHumane,8288,29554,0
1441,connie stokes,CS_Publishing,138,115,0
1442,larry valencia,LarryValencia13,965,1502,0
1443,daniel harrop,PrinceOfHarrop,83,358,0
1444,lisa bloom,LisaBloom,116224,29418,1
1445,pete winstead,PeteWinstead,67,110,0
1446,michael medved,MedvedSHOW,46556,4602,1
1447,mark brodeur,markbrodeur28,227,5567,0
1448,david sweetser,DSweetser2,0,0,0
1449,shirley turner,shirlsyourgirl,281,725,0
1450,bill posey,congbillposey,22874,1268,1
1451,nik kovac,nikovac,535,144,0
1452,john boccieri,RepJohnBoccieri,865,258,0
1453,urban intellectuals,urbanintellects,3851,14735,0
1454,anne hathaway,Hathaway_France,15464,35064,0
1455,tom fanning,Tom_Fanning_Ag1,658,860,0
1456,bill montford,BillMontford,231,0,0
1457,mike rawlings,Mike_Rawlings,35350,4380,1
1458,john bolton,AmbJohnBolton,628979,4591,1
1459,dean cannon,DeanCannon,2978,203,0
1460,colleen conley,cconleyyyy,129,3274,0
1461,jason riley,JasonRileyWDRB,11921,36239,1
1462,valinda bolton,ValindaBolton47,526,15,0
1463,gabrielle giffords,GabbyGiffords,269213,3769,1
1464,margaret gomez,MGomez714,45,3698,0
1465,hugh hewitt,hughhewitt,179672,117316,1
1466,dan branch,TexansForDan,13964,2709,1
1467,matt rinker,Matt_Rinker_,90,5429,0
1468,american life league,AmerLifeLeague,15641,9490,1
1469,bob tiernan,bobtiernan,258,2809,0
1470,charlie bethel,CharlieBethel,2153,1702,0
1471,jeff weems,JeffWeems3,1847,417,0
1472,david silverman,MrAtheistPants,57582,24165,1
1473,roxanne ross,RoxyRoss,524,6139,0
1474,frank lasee,franklasee,80,28,0
1475,eugene sepulveda,EugeneAustin,3473,14401,0
1476,public citizen,Public_Citizen,113899,28881,1
1477,brett smiley,brettsmiley,8041,12512,1
1478,rob moshein,AustinWineGuy,338,728,0
1479,cornel west,CornelWest,852857,2932,1
1480,john mckeon,jtmckeon,517,11099,0
1481,martin smith,MartinSmithTV,83515,3213,1
1482,charles boustany,charlesboustanl,116,167,0
1483,doug miller,DougObserver,1478,4871,1
1484,john fetterman,JohnFetterman,37773,9768,1
1485,jack conners,srennoc,160,2266,0
1486,leo berman,RepBerman,160,10,0
1487,allison tant,allisontant,3282,12721,0
1488,ed whitacre,retiredceo,46,0,0
1489,jim bridenstine,JimBridenstine,52293,947,1
1490,john oxendine,Johnoxendine,94,221,0
1491,james parisi,JamesAParisi,582,720,0
1492,michael murphy,murphm95,49753,1291,0
1493,jamie weinstein,Jamie_Weinstein,19809,37783,1
1494,janet bewley,JanetBewley4WI,688,120,0
1495,tom delay,tomdelaybeats,960,6544,0
1496,ovide lamontagne,ovidein2010,1379,503,0
1497,jeff judson,Jeffrey8912,56,1266,0
1498,media matters,mmfa,392871,83196,1
1499,shaun donovan,Shaun_Don66,463,0,1
1500,ian bremmer,ianbremmer,427667,37689,1
1501,tom petri,tcpetri,112,7,0
1502,james crowley,TherealJCrowley,251,8607,0
1503,kathie glass,KathieGlass4Tx,597,1253,0
1504,marc lamont hill,marclamonthill,392884,69083,1
1505,raw story,RawStory,197576,205974,1
1506,lgbt progress,LGBTProgress,46482,11034,0
1507,michael tyler,MichaelTyler93,5230,15524,1
1508,wisconsin transportation builders association,WIRoadbuilders,35,41,0
1509,shirley anderson,shirlsy,894,4075,0
1510,susan yoshihara,susan_yoshihara,72,66,0
1511,jason kander,JasonKander,326274,15635,1
1512,tina rosenberg,tirosenberg,7851,1141,0
1513,john albers,johnalbers,3388,2738,0
1514,peter nehr,reppeternehr,258,81,0
1515,sara stevenson,ssteven2,631,24264,0
1516,john axford,JohnAxford,78228,9265,1
1517,pete sessions,PeteSessions,34289,6228,1
1518,put alaska first pac,PutAlaskaFirst,180,67,0
1519,carl hosticka,chosticka,1,2,0
1520,tony perkins,TPerkShow,1732,6987,0
1521,scot ross,rossacrosswi,5016,15103,1
1522,ted ferrioli,tedferrioli,529,80,0
1523,daniel webster,RepWebster,25123,3339,1
1524,zack space,ZackSpaceOhio,3489,855,1
1525,mika brzezinski,morningmika,888519,11561,1
1526,john dennis,Johndliu,2286,1222,0
1527,john matson,johnnymatson,923,2238,0
1528,freedom partners,FreedomPartners,48200,8299,1
1529,sloan roach,sdroach,3,18,0
1530,melanie crozier,melcrozier,140,369,0
1531,glee,GLEEonFOX,2479630,18097,1
1532,joe zepecki,JoeZepecki,929,2228,0
1533,joe theismann,Theismann7,153434,11516,1
1534,jack murphy,JackMurphy219,2717,2541,1
1535,kim thatcher,KimThatcherGOP,1140,163,0
1536,gerald mccormick,GeraldMcCormick,1241,30,0
1537,marshall faulk,marshallfaulk,162290,3362,1
1538,ryan downton,Newfino,123,1758,0
1539,steve santarsiero,SenSantarsiero,3070,2347,1
1540,joe leibham,JoeLeibham,986,847,0
1541,jill vogel,JillHVogel,4032,889,0
1542,gerald daugherty,TeamDaugherty,430,413,0
1543,rob eissler,RobEissler,389,22,0
1544,jim greer,jwgreer3,1081,2638,0
1545,steve kagen,stevekagen,77,0,0
1546,jonathan harris,J_Harris_29,2193,4405,1
1547,calvine rollins,ladycefus,10,97,0
1548,tim mcginty,jprov716,42,844,0
1549,ameripac,AmeriPACorg,117,664,0
1550,bob seger,BobSeger,82501,1422,1
1551,choose new jersey,ChooseNJ,3545,5137,0
1552,cocks not glocks,CocksNotGlocks,2097,486,0
1553,genevieve wood,genevievewood,6102,8107,0
1554,daily mail,MailOnline,2352319,268102,1
1555,warren chisum,chisum_warren,0,1,0
1556,evan goyke,RepGoyke,683,303,1
1557,russ fulcher,RussFulcher,2066,649,1
1558,chris carpenter,ChrisCarp06,1080,320,0
1559,scott hochberg,scotthoch,8,7,0
1560,michael mule,MichaelMule,359,380,0
1561,yolanda adrean,yadrean,528,330,0
1562,yg action fund,YGActionFund,165,161,0
1563,bill bradbury,billbradbury,1006,3258,0
1564,paul summers,summers400,520,3020,0
1565,abel collins,be1Collins,692,878,0
1566,david boies,dajobo,14,63,0
1567,beatrice lanzi,Beatrice_Lanzi,11,22,0
1568,morgan griffith,RepMGriffith,28676,1349,1
1569,jack ohman,JACKOHMAN,6887,7583,0
1570,alexander snitker,AlexSnitker,1302,2911,0
1571,joseph andriole,JoeBruins19,2,1,0
1572,rick mcallister,rickmcallister1,228,284,0
1573,mike plant,MPlantTDR,1225,2433,0
1574,dan fanelli,ElectDan2010,99,31,0
1575,jason brodeur,jasonbrodeur,5408,2187,1
1576,stephen king,StephenKing,5220310,3301,1
1577,kathleen sullivan,kathleennewsie,1391,8241,0
1578,phil kent,PhilKentAtl,2649,7757,0
1579,republican state leadership committee,RSLC,13249,4163,1
1580,mike huebsch,mdhws,8,2,0
1581,gonzalo barrientos,GonBarrientosA,839,1015,0
1582,aziz ansari,azizansari,10861802,7636,1
1583,graeme zielinski,gjzielinski,2878,37200,0
1584,doug otto,otto_doug,93,2287,0
1585,candy crowley,CandyCrowley,220130,530,1
1586,russ carnahan,russcarnahan,1740,589,1
1587,bryan fischer,BryanJFischer,12735,41881,1
1588,now or never pac,NowOrNeverPAC,22,7,0
1589,tim finchem,Not_TimFinchem,55,16,0
1590,sharlene leurig,sleurig,725,1266,0
1591,martina navratilova,Martina,275733,97944,1
1592,leon young,99LeLee,326,109,0
1593,la raza,larazachicago,3865,103140,0
1594,stu burguiere,WorldOfStu,85159,2753,1
1595,joy reid,JoyAnnReid,1394019,145896,1
1596,eugene robinson,Eugene_Robinson,374978,2060,1
1597,curtis foltz,homegrown_foltz,46,684,0
1598,john g edwards,oneat1,1516,5253,0
1599,jimmy massie,countryboy75,2,13,0
1600,charles perry,TheCharlesPerry,20504,19853,1
1601,jim patterson,JimPatterson559,5053,1691,1
1602,richard swett,rnswett,299,62,0
1603,rashad taylor,rashadjtaylor,1548,9307,0
1604,common cause,CommonCause,57039,28479,1
1605,robert kando,robertkando,0,0,0
1606,denise grimsley,denisegrimsley,5635,2443,0
1607,sal albanese,SalAlbaneseNYC,4592,26949,1
1608,raymond gallison,aepasstdirector,9,0,0
1609,kendall jones,beerblog,10688,15294,0
1610,mark critz,realMarkCritz,1491,1904,0
1611,thurbert baker,ThurbertBaker,323,71,0
1612,tim echols,timechols,10364,33740,0
1613,jonathan karl,jonkarl,211812,13581,1
1614,peter nightingale,Peter_Night,382,4421,0
1615,george nee,george_nee,4,2,0
1616,ken tanner,KenWestHam,111,626,0
1617,roberto alonzo,cfa10roberto,202,122,0
1618,mahlon mitchell,MahlonMitchell,11671,3159,1
1619,david madland,DavidMadland,605,424,0
1620,liz carter,withoutdoing,13883,11948,1
1621,judson phillips,judsonphillips,8933,13837,0
1622,courtney combs,cococombs11,75,340,0
1623,debbie riddle,DeeVfl,388,370,0
1624,anthony rendon,Rendon63rd,17664,4815,1
1625,tax foundation,taxfoundation,32733,29846,1
1626,gordon robertson,CBNGordon,14252,2147,0
1627,rick green,VTConfidential,7414,19756,0
1628,zephyr teachout,ZephyrTeachout,109094,19721,1
1629,bill zedler,Bill_Zedler,4845,1636,0
1630,ron hayduk,RonHayduk,145,32,0
1631,arizona house democrats,AZHouseDems,13614,9911,1
1632,american unity pac,AmerUnityPAC,422,258,1
1633,dave hansen,DigLibCopyright,647,850,0
1634,ben rhodes,brhodes,301586,4449,1
1635,eric turner,EricTurner,9260,3451,1
1636,peter orszag,porszag,15607,3797,1
1637,maxey scherr,MaxeyforTexas,1614,1006,0
1638,lynn derbyshire,LynnDerbyshire,0,1,0
1639,regina benjamin,reginabenjamin,1894,290,0
1640,david plouffe,davidplouffe,192436,56,1
1641,katty kay,KattyKay_,117412,27345,0
1642,thomas ratliff,RatliffT,1809,3468,0
1643,mother jones,MotherJones,776927,198832,1
1644,al cardenas,AlCardenasFL_DC,8052,15507,0
1645,warren buffett,WarrenBuffett,1516289,9,1
1646,ken hodges,Ken_Hodges15,236,7394,0
1647,morgan carroll,MorganLCarroll,4996,1933,0
1648,heineken,Heineken,153854,12331,1
1649,jeff clemens,jclemy,1373,18662,0
1650,scott lingamfelter,ScottForVA,15,0,0
1651,clay dafoe,claydafoeaustin,2,1,0
1652,kevin rader,KevinWTHR,6560,9699,0
1653,ernest moniz,ErnestMoniz,11740,427,1
1654,judith zaffirini,JudithZaffirini,4029,1007,0
1655,dominic chavez,dchavezzz_,333,10029,0
1656,evan longoria,Evan3Longoria,375284,7081,1
1657,dino baccari,BaccariDino,1,0,0
1658,bill janis,BillJanis,369,15550,0
1659,drew brees,drewbrees,3154587,3857,1
1660,thad altman,RepThadAltman,3290,3608,0
1661,kip kendrick,Kip_Kendrick,2786,2580,0
1662,jennie lou leeder,JennieLouLeeder,2244,2669,1
1663,jalen ross,Jrooo11,585,106,0
1664,jim marston,JimMarston,2035,7414,0
1665,cato institute,CatoInstitute,357170,68827,1
1666,debra lehrmann,JusticeLehrmann,2379,289,0
1667,pam davidson,PamDavEd,1094,5090,0
1668,christine whitman,Christiinneeyy,469,17681,0
1669,john rafferty,jrafferty,543,2959,0
1670,richard tomlins,RichTomlins,721,2956,0
1671,alan powell,alanpowell10,34679,5386,1
1672,sean patrick maloney,RepSeanMaloney,29396,5608,1
1673,mike berlon,mikeberlon,698,6858,0
1674,chris sgro,cristoferosgro,3334,4596,1
1675,marijuana policy project,MarijuanaPolicy,191842,6330,1
1676,mamie locke,SenatorLocke,2189,286,0
1677,drew springer,DrewSpringer,6811,3912,1
1678,steven costantino,Steve_cost32,63,211,0
1679,russell pearce,RussellPearceAZ,274,54,0
1680,ian prior,ianprior90,2146,2130,1
1681,carole smith,SynNeoMarketing,1448,8598,0
1682,brett bittner,brettbittner,1361,10433,0
1683,wolf blitzer,wolfblitzer,1427789,9992,1
1684,cenk uygur,cenkuygur,375781,22404,1
1685,mike wise,MikeWiseguy,31597,70044,1
1686,todd wilcox,toddwilcox24,204,531,0
1687,dan forest,DanForestNC,10339,5920,0
1688,george lavender,GeorgeLavender,1190,2049,0
1689,david hallock,dhhallock,326,527,0
1690,scott suder,suder13,196,4558,0
1691,enterprise florida,EnterpriseFL,33144,7209,0
1692,milly silva,MillySilva,2197,2816,0
1693,jeff scrima,jscrima,27,1419,0
1694,john birch society,The_JBS,9670,14158,0
1695,jon bramnick,JonBramnick,4882,1350,0
1696,anna kooiman,annakooiman,155931,8427,1
1697,clean water portland,OCSDW,165,10,0
1698,jeff mullis,1_v_1ME,5,3,0
1699,dave claunch,DaveClaunch,11,0,0
1700,mike cernovich,Cernovich,464684,43046,1
1701,lisa tomasso,Lisa_Tomasso,561,702,0
1702,stephen laffey,stephenlaffey,9,22,0
1703,sid covington,SidCovington,141,2561,0
1704,edd houck,eddhouck,69,11,0
1705,anastasia williams,ARoyalOne,732,7420,0
1706,thomas melsheimer,TomMelsheimer,625,361,0
1707,charles krauthammer,krauthammer,829812,405,1
1708,james oneil,JamesEONeil2,223,2388,0
1709,adrian garcia,AdrianGarciaHTX,17655,19392,0
1710,tyrone brooks,tbrooksBIN,3264,718,0
1711,gwyneth paltrow,GwynethPaltrow,2902487,403,1
1712,stephen ucci,stephen_ucci,405,164,0
1713,peter lavelle,PLCROSSTALK,8497,1869,0
1714,dan sebring,SebringDan,223,1129,0
1715,unicef,UNICEF,7532973,42355,1
1716,erin lynch,ErinALynch,969,6751,0
1717,deborah gist,deborahgist,17206,26929,1
1718,kathleen angelucci,Cobbedutweet,21,1,0
1719,juda engelmayer,judae,351,767,0
1720,mario gallegos,MarioGallegosHF,124,178,0
1721,bob,bobsaget,2382581,2425,1
1722,dan pfeiffer,danpfeiffer,558396,22800,1
1723,kurt schuller,schuller53rd,1369,3832,0
1724,brian wilson,BrianWilsonLive,74232,2172,1
1725,doug ainge,dougainge,7,107,0
1726,warren kampf,KampfWarren,4,0,0
1727,thaddeus mccotter,ThadMcCotter,31880,10807,1
1728,mike ford,Mike7Ford,6615,442,1
1729,ron meyer,Ron4VA,4010,359,1
1730,rebecca quigley,RQuig3605,74,1433,0
1731,ann marie buerkle,AMBCPSC,425,415,1
1732,piers morgan,piersmorgan,6640959,124035,1
1733,keisha lance bottoms,KeishaBottoms,59206,2802,1
1734,dennis hastert,SpeakerHastert,95,8,0
1735,michael adams,MickeyAdamsGM,14506,1605,0
1736,espn,espn,33922206,102083,1
1737,metro,MetroUK,297192,278106,1
1738,oregon catalyst,oregoncatalyst,3759,7368,0
1739,colorado health institute,COHealthInst,5420,6896,0
1740,brian deese,DeeseOMB,2430,26,1
1741,spencer bachus,BachusAL06,8359,532,1
1742,representus,representus,31440,11833,1
1743,barney bishop,Barney_Bishop,1127,1163,0
